1	0.000921	4
2	0.039717	5
3	0.009561	5
4	0.014408	6
5	0.030334	8
6	0.015263	5
7	0.038102	7
8	0.013899	6
9	0.077077	5
10	0.028942	5
11	0.004900	5
12	0.045061	7
13	0.013551	4
14	0.000000	4
15	0.042530	7
16	0.004104	5
17	0.024420	6
18	0.027640	5
19	0.028863	3
20	0.018041	5
21	0.002851	4
22	0.001082	4
23	0.003677	4
24	0.004259	4
25	0.021651	7
26	0.010990	4
27	0.037096	7
28	0.033584	5
29	0.035703	8
30	0.018985	9
31	0.010549	4
32	0.030753	7
33	0.048913	9
34	0.001383	4
35	0.008639	5
36	0.037008	6
37	0.005301	5
38	0.010731	5
39	0.004493	4
40	0.000000	4
41	0.035370	7
42	0.032568	6
43	0.001842	3
44	0.000068	4
45	0.032099	7
46	0.032932	7
47	0.008687	4
48	0.000860	4
49	0.049858	5
50	0.000733	4
