1	0.001902	4
2	0.041019	5
3	0.010794	5
4	0.014529	6
5	0.027893	8
6	0.016522	5
7	0.035740	7
8	0.012816	6
9	0.075065	5
10	0.028771	5
11	0.006179	5
12	0.043986	7
13	0.016148	4
14	0.001676	3
15	0.041296	7
16	0.004271	5
17	0.024366	6
18	0.029020	5
19	0.029461	3
20	0.019336	5
21	0.003912	4
22	0.002276	4
23	0.004913	4
24	0.004654	6
25	0.020532	7
26	0.010391	4
27	0.035868	7
28	0.034810	5
29	0.033144	8
30	0.015510	9
31	0.012959	4
32	0.028367	7
33	0.044006	9
34	0.002661	4
35	0.010000	5
36	0.035697	6
37	0.005475	5
38	0.012058	5
39	0.006976	4
40	0.000214	3
41	0.034188	7
42	0.032470	6
43	0.002471	3
44	0.000847	4
45	0.028746	8
46	0.030348	7
47	0.011222	4
48	0.003007	4
49	0.049879	5
50	0.001609	5
