1	0.002179	4
2	0.041329	5
3	0.011112	5
4	0.014554	6
5	0.027289	8
6	0.016895	5
7	0.035184	7
8	0.012594	6
9	0.074570	5
10	0.028697	5
11	0.006479	5
12	0.043734	7
13	0.016790	4
14	0.002251	3
15	0.041046	7
16	0.004284	5
17	0.024298	6
18	0.029360	5
19	0.029609	3
20	0.019659	5
21	0.004175	4
22	0.002600	4
23	0.005170	4
24	0.004505	6
25	0.020268	7
26	0.010240	4
27	0.035574	7
28	0.035084	5
29	0.032526	8
30	0.014595	9
31	0.013544	4
32	0.027715	7
33	0.042804	9
34	0.002955	4
35	0.010362	5
36	0.035392	6
37	0.005507	5
38	0.012342	5
39	0.007640	4
40	0.000622	3
41	0.033871	7
42	0.032402	6
43	0.002631	3
44	0.001115	4
45	0.027769	8
46	0.029679	7
47	0.011836	4
48	0.003576	4
49	0.049888	5
50	0.001701	5
